$	ID	;	[	NUM	];	(	)	int	void	,	]	{	}	break	if	else	while	return	for	=	<	==	+	-	*	┤
Relop	−	+	−	−	+	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	+	+	−	−
Additiveexpression	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Additiveexpressionprime	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	−	−	−	−
Additiveexpressionzegond	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	−	−	−	−
D	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	−	−	−	−
Addop	−	+	−	−	+	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	+	+	−	−
Term	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	−	−
Termprime	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	−	−
Termzegond	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	−	−
G	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	−	−
Signedfactor	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	+	−
Signedfactorprime	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	+	−
Signedfactorzegond	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	+	−
Factor	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	+	−
Varcallprime	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	+	−
Varprime	−	+	+	−	+	−	+	+	−	−	+	+	+	−	+	+	−	+	+	+	−	+	+	+	+	+	−
Factorprime	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	+	−
Factorzegond	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	+	+	+	+	+	−
Args	−	−	−	−	−	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Arglist	−	−	−	−	−	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Arglistprime	−	−	−	−	−	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
